state,year,name,topic,subtopic,title,relevant_text,description
Alabama,2019,Ala. Code 41-23-212,Definition - Broadband,Speed 3,Definitions,(4) MINIMUM SERVICE THRESHOLD. A connection to the Internet that provides capacity for transmission at an average speed per customer of at least 25 megabits (25 Mbps) per second downstream and at least three megabits (3 Mbps) per second upstream.,Defines the minimum speed for a broadband connection as 25 megabits per second (Mbps) download and 3 Mbps upload.
Alabama,2019,Ala. Code 41-23-212,Definition - Unserved,,Definitions,"(6) UNSERVED AREA. Any rural area in which there is not at least one provider of terrestrial broadband service that is either: (1) offering a connection to the Internet meeting the minimum service threshold; or (2) is required, under the terms of the Federal Universal Service Fund or other federal or state grant, to provide a connection to the Internet at speeds meeting the minimum service threshold by March 28, 2023.","Defines “unserved” as any rural area without at least one broadband provider that either offers—or is required by a state or federal grant to provide by March 28, 2023—an internet connection that meets the minimum service threshold. "
Alabama,2019,Ala. Code 41-23-213,Fund - Broadband,,Grant program; rulemaking authority; Alabama Broadband Accessibility Fund.,"(a) The Director of ADECA may establish and administer the broadband accessibility grant program for the purpose of promoting the deployment and adoption of broadband Internet access services to unserved areas. By June 26, 2018, the director shall adopt rules and policies to administer the program and begin to accept applications for grants, and shall adopt such rules as may be necessary to meet the future needs of the grant program.&para;(b) The program shall be administered pursuant to policies developed by ADECA in compliance with this article. The policies shall provide for the awarding of grants to non-governmental entities that are cooperatives, corporations, limited liability companies, partnerships, or other private business entities that provide broadband services. Nothing in this article shall expand the authority under state law of any entity to provide broadband service.&para;(c) There is hereby created the Alabama Broadband Accessibility Fund in the State Treasury. The fund is subject to appropriations by the Legislature and gifts, grants, and other donations received by ADECA for the broadband accessibility grant program or fund. ADECA may not spend appropriations for the program for purposes other than those listed in this section. Any monies appropriated to ADECA for broadband grants that are unspent at the end of a fiscal year shall be carried over for use by the program in the next fiscal year. ADECA shall develop rules ensuring that expenses incurred to administer the program must not exceed the lesser of seven percent of the total amount appropriated for the program in any fiscal year or seven hundred fifty thousand dollars ($750,000). Moneys in the fund shall be invested by the State Treasurer for the sole benefit of the fund.&para;(d)(1) Individual grants awarded by ADECA under this section may only be awarded for projects in unserved areas, and may not exceed the lesser of:&para;a. Thirty-five percent of the project costs.&para;b. One million five hundred thousand dollars ($1,500,000) for projects that will be capable of transmitting broadband signals at or above the minimum service threshold.","Creates within the state Treasury the Alabama Broadband Accessibility Fund, administered by the Alabama Department of Economic and Community Affairs, to promote broadband deployment and adoption in unserved areas. The fund is supported through appropriations from the Legislature and from gifts, grants, or other donations. Individual grants awarded cannot exceed 35% of the total project costs, or $1,500,000, whichever is less. "
Alabama,2019,Ala. Code 41-23-214,Task Force,,Alabama Rural Broadband Oversight Committee.,"(a) There is created the Alabama Rural Broadband Oversight Committee. The committee shall consist of the Chair of the House Ways and Means Education Committee or his or her designee, the Chair of the Senate Finance and Taxation Education Committee or his or her designee, two members appointed by the Speaker of the House of Representatives, two members appointed by the President Pro Tempore of the Senate, and the Director of ADECA or his or her designee. The committee shall meet at least annually, provide general oversight of the implementation of the article, and recommend further statutory changes to promote rural broadband development.&para;(b) The committee shall reflect the racial, gender, geographic, urban/rural, and economic diversity of the state.&para;(c) For any year in which grants are distributed under the program, ADECA shall produce a report on the status of grants under the program to the committee, including progress toward increased access to and adoption of broadband services. The report shall be provided at the committee’s first meeting of the year and be published on ADECA's website. ADECA shall provide a copy of the report to the Governor, the Alabama Senate President Pro Tempore, the Alabama Senate Minority Leader, the Speaker of the Alabama House of Representatives, and the Alabama House of Representatives Minority Leader. By March 28, 2019, ADECA shall produce a report on the availability of broadband within the state.",Creates the Alabama Rural Broadband Oversight Committee to provide general oversight of and recommend statutory changes that promote rural broadband deployment.
Alabama,2000,Ala. Code 11-50B-1,Legislative Intent,,Purpose,"It is hereby declared to be the public policy of this state to encourage the development of advanced telecommunications capabilities, cable, interactive computer, and Internet facilities and services to better serve the public and further industrial economic development in this state. It is necessary for growth, job opportunities, and sustained economic development to encourage new investment in advanced telecommunications capabilities, cable, interactive computer, and Internet facilities, including investment by public providers of these services. Nothing contained herein, however, is intended to exempt, except, or exclude public providers which engage in the provision of advanced telecommunications capability or services, cable, interactive computer, or Internet facilities or services pursuant to the authority granted herein from complying with any provisions of federal law which may at any time apply to the public providers or their facilities or services, including without limitation, to the extent that they apply, any requirement that they interconnect with other telecommunications providers, or that they obtain from the regulatory authorities designated by federal law as being the appropriate bodies from which to obtain any requisite approval, the approval of interconnection agreements with other telecommunications providers.",Establishes a state policy for encouraging the development of advanced telecommunications capabilities to serve the public and facilitate economic development.
Alabama,2000,Ala. Code 11-50B-1 et seq.,Municipal Broadband,,Purpose,"It is hereby declared to be the public policy of this state to encourage the development of advanced telecommunications capabilities, cable, interactive computer, and Internet facilities and services to better serve the public and further industrial economic development in this state. It is necessary for growth, job opportunities, and sustained economic development to encourage new investment in advanced telecommunications capabilities, cable, interactive computer, and Internet facilities, including investment by public providers of these services. Nothing contained herein, however, is intended to exempt, except, or exclude public providers which engage in the provision of advanced telecommunications capability or services, cable, interactive computer, or Internet facilities or services pursuant to the authority granted herein from complying with any provisions of federal law which may at any time apply to the public providers or their facilities or services, including without limitation, to the extent that they apply, any requirement that they interconnect with other telecommunications providers, or that they obtain from the regulatory authorities designated by federal law as being the appropriate bodies from which to obtain any requisite approval, the approval of interconnection agreements with other telecommunications providers.","Allows public providers to construct and operate internet systems for inhabitants of a municipality or police jurisdiction and any area where the municipality provides utility service. Also allows the lease of municipal systems to private providers. Addresses requirements and limitations of municipal systems, including that capital and operating expenditures cannot be paid with state or local tax revenue or appropriations. "
Alaska,2020,AS 14.03.127,Fund - Broadband,,Funding for Internet services.,"(a) Each fiscal year, a district in which one or more schools qualify for a discounted rate for Internet services under the federal universal services program is eligible to receive an amount for each school that is equal to the amount needed to bring the applicant's share to 10 megabits of download a second of the Internet services.",Declares that school districts with at least one e-rate-eligible school are also eligible for state funding to ensure that they can receive download speeds of at least 10 megabits per second (Mbps).
Arizona,2020,Ariz. Rev. Stat. 10-2051,Definition - Broadband,Speed 3,Definitions,"2. ""Broadband service"" means providing access and transport to the internet, computer processing, information storage or protocol conversion at a download rate of at least twenty-five megabits per second and at an upload rate of at least three megabits per second.",Defines “broadband service” as internet access with a download rate of at least 25 megabits per second (Mbps) and an upload rate of at least 3 Mbps.
Arizona,2020,Ariz. Rev. Stat. 10-2052,Cooperatives,Electric,Purpose,"A. Cooperative nonprofit membership corporations may be organized under this article for any of the following purposes:...5. Directly or through an affiliate, providing broadband service to areas in which the cooperative provides electric energy services.",Authorizes electric cooperatives to provide broadband services in areas where they provide electric services.
Arizona,2020,Ariz. Rev. Stat. 10-2057,Rights-of-way,Easements,Powers of electric cooperative,"A. A cooperative organized under this article may:...17. Directly or through an affiliate, construct, operate, maintain, lease and license fiber optic cables and other facilities to provide broadband service over, under, across, on or along real property, personal property, rights-of-way, easements and licenses and other property rights that are owned, held or used by the cooperative, including easement or other property rights owned, held or used by the cooperative to provide electricity or other services.",Grants electric cooperatives the right to obtain easements to provide electric and broadband services.
